City,EduID,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address,,
PHEK,13080200402,2015-16,GPS PHOLA BAWE,PFUTSERO,DUMMY,PHOLAMI,Nagaland,977107,,,,,,,,,,,
PHEK,13080200503,2015-16,ST. JOHN SCHOOL,PFUTSERO,DUMMY,RAZEBA,Nagaland,797107,,,,,,,,,,,
WOKHA,13050304802,2015-16,DON BOSCO SCHOOL,BHANDARI,DUMMY,BHANDARI,Nagaland,797111,,,,ChIJB_kEAjxPRjcRrVKxNiYt2mA,B,Pincode,797111,Don Bosco Higher Secondary School,"Kohima-Mokokchung Rd, Wokha, Nagaland 797111, India",,
WOKHA,13050304103,2015-16,MONTFORD SCHOOL ,BHANDARI,DUMMY,BAGHTY,Nagaland,797111,,,,ChIJ34z3UClaRjcR49ybQyy5xVM,B,Pincode,797111,MONTFORT SCHOOL,"Wokha, Nagaland 797111, India",,
WOKHA,13050304401,2015-16,GPS SERIKA,BHANDARI,DUMMY,SERIKA,Nagaland,797111,,,,,,,,,,,
WOKHA,13050304501,2015-16,GPS KORO,BHANDARI,DUMMY,KORO,Nagaland,797111,,,,,,,,,,,
TUENSANG,13020100614,2015-16,ST. XAVIER'S SCHOOL,HAKUSHANG,3RD NAP SAKSI,TUENSANG TOWN,Nagaland,798612,,,,ChIJ8-PG7gCcRzcRrxNuBaN6WO0,B,Pincode,798612,St. John's School,"Tuensang, Nagaland 798612, India",,
TUENSANG,13020100616,2015-16,AKUM IMLONG SCHOOL,HAKUSHANG,HAKUSHANG,TUENSANG TOWN,Nagaland,798612,,,,ChIJW1WKn-ObRzcROU9tjTQoMkk,C,City,tuensang,Akum Imlong School,"Tuensang, Nagaland, India",,
TUENSANG,13020100620,2015-16,GHSS THANGJAM TUENSANG,HAKUSHANG,HAKUSHANG,TUENSANG TOWN,Nagaland,798612,,,,ChIJ2w3Btv6bRzcRGzTz-eZ6K10,C,City,tuensang,GHSS Tuensang,"Tuensang, Nagaland, India",,
TUENSANG,13020100621,2015-16,BETHESDA SCHOOL,HAKUSHANG,HAKUSHANG,TUENSANG TOWN,Nagaland,798612,,,,,,,,,,,
PHEK,13080201607,2015-16,TEWELHI MEDO T.HR.SECONDARY SCHOOL,PFUTSERO,DUMMY,PFUTSERO TOWN/WARD,Nagaland,797107,,,,ChIJB0fYTD-CSDcRkq_Z_WrU7RA,B,Locality,pfutsero,Tewelhi Higher Secondary School,"Pfutsero, Nagaland 797107, India",,
